Tenure in Months,Monthly Charge,Age,Customer Status
9,65.6,37,0
9,-4.0,46,0
4,73.9,50,1
13,98.0,78,1
3,83.9,75,1
63,84.65,52,0
7,48.2,68,0
56,45.05,39,0
71,95.75,58,0
45,62.7,79,1
1,25.1,67,1
13,94.1,26,1
4,20.35,34,1
1,30.5,37,1
55,103.7,37,0
54,20.4,42,0
26,19.6,64,0
37,91.2,23,0
66,-2.0,28,0
20,39.4,33,0
55,89.8,37,0
27,75.75,60,0
2,49.25,69,1
25,61.6,46,0
72,85.15,19,0
64,81.25,25,0
40,91.55,72,0
40,104.5,51,1
11,95.0,78,1
30,64.5,58,0
27,19.4,26,0
1,19.85,32,1
1,99.75,59,1
49,84.35,61,1
10,19.95,21,0
21,111.2,24,1
37,40.2,52,1
7,73.85,29,1
15,101.35,42,1
26,45.8,51,0
44,20.5,64,0
2,86.25,40,1
44,74.85,76,0
12,89.75,57,1
69,109.95,71,0
1,80.2,25,1
3,19.85,24,1
26,20.3,57,0
25,94.7,41,1
1,70.9,43,1
22,54.2,48,1
19,86.85,34,0
47,87.2,54,0
62,108.15,42,0
71,116.3,22,0
25,35.05,32,0
58,105.5,73,1
10,85.25,26,1
9,75.2,59,0
6,84.35,78,1
69,84.45,47,0
70,115.55,30,1
25,25.3,62,1
54,114.65,63,0
15,105.1,54,1
12,19.4,48,0
30,84.3,52,0
71,100.55,22,0
4,84.8,26,1
2,85.85,58,1
52,48.8,69,0
5,47.15,25,1
8,20.15,30,0
72,69.65,53,0
63,36.1,76,0
66,56.6,38,0
1,75.9,23,1
1,85.55,45,1
15,93.35,49,1
72,89.7,25,0
72,92.65,35,0
67,92.45,69,0
28,81.05,58,1
27,75.2,80,1
2,85.65,22,1
9,72.9,50,1
32,74.9,76,1
16,100.7,57,0
72,114.3,43,0
3,19.75,41,1
7,-3.0,21,0
8,54.4,49,0
66,50.55,33,0
5,21.05,30,1
49,103.7,38,1
12,29.3,70,0
27,54.75,54,0
54,86.2,40,0
1,95.45,56,1
5,63.95,38,0
72,63.8,61,0
32,20.05,50,0
8,101.15,47,1
41,65.0,35,0
5,96.1,61,1
16,19.05,62,0
71,105.75,80,0
11,40.4,23,0
61,99.15,63,1
71,84.8,50,0
6,49.45,63,0
26,88.8,58,1
6,55.15,29,0
11,84.8,54,0
1,80.55,25,1
49,20.15,31,0
23,99.85,28,1
2,45.35,63,1
1,48.55,37,1
68,100.2,74,1
8,94.7,44,1
39,100.0,62,0
1,70.1,43,1
3,97.9,40,1
5,69.95,55,1
3,81.35,77,1
55,66.05,41,0
72,61.2,43,0
72,74.4,69,0
41,106.3,63,1
6,89.3,43,1
